asset_id,asset_dir,color_texture,domain_family,quality_tier,allowed_roles,value_family,texture_scale_range,curation_notes,source_review
laminate_floor_03_4k,assets/library/polyhaven/materials/laminate_floor_03_4k,assets/library/polyhaven/materials/laminate_floor_03_4k/textures/laminate_floor_03_diff_4k.jpg,support_wood_laminate,core,"[""support_surface""]",medium,"[1.6, 3.0]",laminate floor; stable support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
laminate_floor_4k,assets/library/polyhaven/materials/laminate_floor_4k,assets/library/polyhaven/materials/laminate_floor_4k/textures/laminate_floor_diff_4k.jpg,support_wood_laminate,core,"[""support_surface""]",medium,"[1.6, 3.0]",laminate floor; stable support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
leaves_forest_ground_4k,assets/library/polyhaven/materials/leaves_forest_ground_4k,assets/library/polyhaven/materials/leaves_forest_ground_4k/textures/leaves_forest_ground_diff_4k.jpg,organic_leaf_floor,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",leaf clutter too semantic,visual_contact_sheet_polyhaven_v2_1_pages_01_05
medieval_blocks_03_4k,assets/library/polyhaven/materials/medieval_blocks_03_4k,assets/library/polyhaven/materials/medieval_blocks_03_4k/textures/medieval_blocks_03_diff_4k.jpg,wall_stone_block,core,"[""wall_background""]",medium,"[1.8, 3.2]",stone block wall/background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
mud_cracked_dry_riverbed_002_4k,assets/library/polyhaven/materials/mud_cracked_dry_riverbed_002_4k,assets/library/polyhaven/materials/mud_cracked_dry_riverbed_002_4k/textures/mud_cracked_dry_riverbed_002_diff_4k.jpg,natural_cracked_mud,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",cracked mud has strong scale/semantic pattern,visual_contact_sheet_polyhaven_v2_1_pages_01_05
oak_veneer_01_4k,assets/library/polyhaven/materials/oak_veneer_01_4k,assets/library/polyhaven/materials/oak_veneer_01_4k/textures/oak_veneer_01_diff_4k.jpg,support_wood_clean,core,"[""support_surface"", ""foreground_object""]",medium,"[1.6, 3.0]",clean oak veneer; good table/object,visual_contact_sheet_polyhaven_v2_1_pages_01_05
painted_plaster_wall_4k,assets/library/polyhaven/materials/painted_plaster_wall_4k,assets/library/polyhaven/materials/painted_plaster_wall_4k/textures/painted_plaster_wall_diff_4k.jpg,wall_plaster,core,"[""wall_background""]",light,"[1.8, 3.2]",painted plaster wall; good background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
park_dirt_4k,assets/library/polyhaven/materials/park_dirt_4k,assets/library/polyhaven/materials/park_dirt_4k/textures/park_dirt_diff_4k.jpg,natural_soil,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",park dirt; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
pavement_03_4k,assets/library/polyhaven/materials/pavement_03_4k,assets/library/polyhaven/materials/pavement_03_4k/textures/pavement_03_diff_4k.jpg,support_tile_pavement,core,"[""support_surface""]",medium,"[1.8, 3.4]",stone/pavement tiles; good floor support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
pavement_04_4k,assets/library/polyhaven/materials/pavement_04_4k,assets/library/polyhaven/materials/pavement_04_4k/textures/pavement_04_diff_4k.jpg,support_tile_pavement,usable_watch,"[""support_surface""]",dark,"[1.8, 3.4]",dark small pavers; usable but may reduce object contrast,visual_contact_sheet_polyhaven_v2_1_pages_01_05
pebble_ground_01_4k,assets/library/polyhaven/materials/pebble_ground_01_4k,assets/library/polyhaven/materials/pebble_ground_01_4k/textures/pebble_ground_01_diff_4k.jpg,natural_pebble,usable_watch,"[""natural_ground""]",light,"[2.5, 5.0]",fine pebbles; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
plaster_brick_pattern_4k,assets/library/polyhaven/materials/plaster_brick_pattern_4k,assets/library/polyhaven/materials/plaster_brick_pattern_4k/textures/plaster_brick_pattern_diff_4k.jpg,wall_brick_light,core,"[""wall_background""]",light,"[1.8, 3.2]",regular pale brick/plaster wall,visual_contact_sheet_polyhaven_v2_1_pages_01_05
plastered_wall_03_4k,assets/library/polyhaven/materials/plastered_wall_03_4k,assets/library/polyhaven/materials/plastered_wall_03_4k/textures/plastered_wall_03_diff_4k.jpg,wall_plaster,core,"[""wall_background""]",medium,"[1.8, 3.2]",dirty plaster wall; good background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
plastered_wall_04_4k,assets/library/polyhaven/materials/plastered_wall_04_4k,assets/library/polyhaven/materials/plastered_wall_04_4k/textures/plastered_wall_04_diff_4k.jpg,wall_plaster_plain,usable_watch,"[""wall_background""]",light,"[1.8, 3.2]",smooth grey plaster; can look flat,visual_contact_sheet_polyhaven_v2_1_pages_01_05
plywood_4k,assets/library/polyhaven/materials/plywood_4k,assets/library/polyhaven/materials/plywood_4k/textures/plywood_diff_4k.jpg,support_wood_clean,core,"[""support_surface"", ""foreground_object""]",medium,"[1.6, 3.0]",plywood surface; good table/object,visual_contact_sheet_polyhaven_v2_1_pages_01_05
random_bricks_thick_4k,assets/library/polyhaven/materials/random_bricks_thick_4k,assets/library/polyhaven/materials/random_bricks_thick_4k/textures/random_bricks_thick_diff_4k.jpg,wall_brick_mixed,core,"[""wall_background""]",medium,"[1.8, 3.2]",rough mixed brick wall,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rectangular_parquet_4k,assets/library/polyhaven/materials/rectangular_parquet_4k,assets/library/polyhaven/materials/rectangular_parquet_4k/textures/rectangular_parquet_diff_4k.jpg,support_wood_parquet,core,"[""support_surface""]",medium,"[1.6, 3.0]",rectangular parquet floor; good support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
red_brick_03_4k,assets/library/polyhaven/materials/red_brick_03_4k,assets/library/polyhaven/materials/red_brick_03_4k/textures/red_brick_03_diff_4k.jpg,wall_brick_red,core,"[""wall_background""]",medium,"[1.8, 3.2]",red brick wall background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
red_brick_4k,assets/library/polyhaven/materials/red_brick_4k,assets/library/polyhaven/materials/red_brick_4k/textures/red_brick_diff_4k.jpg,wall_brick_red,core,"[""wall_background""]",medium,"[1.8, 3.2]",red brick wall background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
red_dirt_mud_01_4k,assets/library/polyhaven/materials/red_dirt_mud_01_4k,assets/library/polyhaven/materials/red_dirt_mud_01_4k/textures/red_dirt_mud_01_diff_4k.jpg,natural_red_soil,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",red soil; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
red_laterite_soil_stones_4k,assets/library/polyhaven/materials/red_laterite_soil_stones_4k,assets/library/polyhaven/materials/red_laterite_soil_stones_4k/textures/red_laterite_soil_stones_diff_4k.jpg,natural_red_soil,usable_watch,"[""natural_ground""]",dark,"[2.5, 5.0]",red soil/stones; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
red_mud_stones_4k,assets/library/polyhaven/materials/red_mud_stones_4k,assets/library/polyhaven/materials/red_mud_stones_4k/textures/red_mud_stones_diff_4k.jpg,natural_red_soil,usable_watch,"[""natural_ground""]",dark,"[2.5, 5.0]",red mud stones; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rock_01_4k,assets/library/polyhaven/materials/rock_01_4k,assets/library/polyhaven/materials/rock_01_4k/textures/rock_01_diff_4k.jpg,support_stone,usable_watch,"[""support_surface"", ""foreground_object""]",medium,"[1.2, 2.4]",neutral rock/stone surface; usable but not tabletop core,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rock_08_4k,assets/library/polyhaven/materials/rock_08_4k,assets/library/polyhaven/materials/rock_08_4k/textures/rock_08_diff_4k.jpg,natural_rock,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",rock texture with visible pattern; outdoor/stone only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rock_2_4k,assets/library/polyhaven/materials/rock_2_4k,assets/library/polyhaven/materials/rock_2_4k/textures/rock_2_diff_4k.jpg,natural_rock,usable_watch,"[""natural_ground""]",light,"[2.5, 5.0]",rocky surface; outdoor/stone only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rocks_ground_03_4k,assets/library/polyhaven/materials/rocks_ground_03_4k,assets/library/polyhaven/materials/rocks_ground_03_4k/textures/rocks_ground_03_diff_4k.jpg,natural_gravel_rock,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",ground rocks; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rocky_trail_4k,assets/library/polyhaven/materials/rocky_trail_4k,assets/library/polyhaven/materials/rocky_trail_4k/textures/rocky_trail_diff_4k.jpg,natural_trail,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",trail surface; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rosewood_veneer1_4k,assets/library/polyhaven/materials/rosewood_veneer1_4k,assets/library/polyhaven/materials/rosewood_veneer1_4k/textures/rosewood_veneer1_diff_4k.jpg,support_wood_dark,core,"[""support_surface"", ""foreground_object""]",dark,"[1.6, 3.0]",dark polished wood; good with lighting control,visual_contact_sheet_polyhaven_v2_1_pages_01_05
rubber_tiles_4k,assets/library/polyhaven/materials/rubber_tiles_4k,assets/library/polyhaven/materials/rubber_tiles_4k/textures/rubber_tiles_diff_4k.jpg,support_rubber,core,"[""support_surface"", ""foreground_object""]",dark,"[1.2, 2.4]",rubber tile support; useful but keep contrast checks,visual_contact_sheet_polyhaven_v2_1_pages_01_05
sand_01_4k,assets/library/polyhaven/materials/sand_01_4k,assets/library/polyhaven/materials/sand_01_4k/textures/sand_01_diff_4k.jpg,natural_sand,usable_watch,"[""natural_ground""]",light,"[2.5, 5.0]",sand/soil; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
sandstone_blocks_05_4k,assets/library/polyhaven/materials/sandstone_blocks_05_4k,assets/library/polyhaven/materials/sandstone_blocks_05_4k/textures/sandstone_blocks_05_diff_4k.jpg,wall_stone_block,core,"[""wall_background""]",light,"[1.8, 3.2]",sandstone block wall,visual_contact_sheet_polyhaven_v2_1_pages_01_05
sandstone_cracks_4k,assets/library/polyhaven/materials/sandstone_cracks_4k,assets/library/polyhaven/materials/sandstone_cracks_4k/textures/sandstone_cracks_diff_4k.jpg,support_stone,usable_watch,"[""support_surface""]",medium,"[1.2, 2.4]",cracked sandstone; can be support in stone scenes,visual_contact_sheet_polyhaven_v2_1_pages_01_05
sandy_gravel_02_4k,assets/library/polyhaven/materials/sandy_gravel_02_4k,assets/library/polyhaven/materials/sandy_gravel_02_4k/textures/sandy_gravel_02_diff_4k.jpg,natural_sand_gravel,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",sandy gravel outdoor surface,visual_contact_sheet_polyhaven_v2_1_pages_01_05
shell_floor_01_4k,assets/library/polyhaven/materials/shell_floor_01_4k,assets/library/polyhaven/materials/shell_floor_01_4k/textures/shell_floor_01_diff_4k.jpg,natural_shell_pebble,usable_watch,"[""natural_ground""]",light,"[2.5, 5.0]",shell/pebble floor high frequency,visual_contact_sheet_polyhaven_v2_1_pages_01_05
snow_01_4k,assets/library/polyhaven/materials/snow_01_4k,assets/library/polyhaven/materials/snow_01_4k/textures/snow_01_diff_4k.jpg,snow,exclude_v0,"[""natural_ground""]",light,"[1.5, 3.0]",snow surface too semantic/bright for v0,visual_contact_sheet_polyhaven_v2_1_pages_01_05
snow_02_4k,assets/library/polyhaven/materials/snow_02_4k,assets/library/polyhaven/materials/snow_02_4k/textures/snow_02_diff_4k.jpg,snow,exclude_v0,"[""natural_ground""]",light,"[1.5, 3.0]",snow surface too semantic/bright for v0,visual_contact_sheet_polyhaven_v2_1_pages_01_05
